frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
55,2.292,1,lifter,0.7929,194,1066,466,1512,-4.2475,0.1925,10.5464,0.4477,0.9595,0.2078
55,2.292,2,lifter,0.7029,1581,738,1666,920,-4.6747,0.2177,11.5958,0.4963,1.0619,0.2317
55,2.292,3,lifter,0.6802,218,684,348,923,-6.1554,0.3068,15.1963,0.6492,1.3924,0.2878
55,2.292,4,lifter,0.2435,1341,1153,1666,1504,-5.2704,0.2564,13.0351,0.5547,1.1898,0.249
55,2.292,5,lifter,0.1796,773,1171,1079,1512,-4.5888,0.2124,11.3847,0.4864,1.0413,0.2274
56,2.334,1,lifter,0.793,194,1066,466,1512,-4.2473,0.1925,10.5461,0.4477,0.9594,0.2078
56,2.334,2,lifter,0.6959,1581,738,1666,920,-4.7003,0.2192,11.6584,0.4991,1.0679,0.2331
56,2.334,3,lifter,0.6795,218,684,348,923,-6.1542,0.3067,15.1934,0.6491,1.3921,0.2878
56,2.334,4,lifter,0.244,1341,1153,1666,1504,-5.2672,0.2562,13.0271,0.5543,1.1891,0.2488
56,2.334,5,lifter,0.1803,773,1171,1079,1512,-4.5892,0.2124,11.3858,0.4864,1.0414,0.2274
57,2.376,1,lifter,0.7928,194,1067,466,1512,-4.2492,0.1926,10.5507,0.4479,0.9599,0.2079
57,2.376,2,lifter,0.6808,218,684,348,923,-6.1547,0.3067,15.1947,0.6491,1.3922,0.2878
57,2.376,3,lifter,0.6641,1582,739,1667,921,-4.6403,0.2156,11.5117,0.4925,1.0538,0.2299
57,2.376,4,lifter,0.2417,1341,1153,1665,1504,-5.2629,0.2559,13.0167,0.5539,1.1881,0.2486
57,2.376,5,lifter,0.181,773,1171,1079,1512,-4.5888,0.2124,11.3848,0.4864,1.0413,0.2274
58,2.417,1,lifter,0.7924,194,1067,466,1512,-4.2489,0.1926,10.5499,0.4478,0.9598,0.2078
58,2.417,2,lifter,0.6799,218,684,349,923,-6.1279,0.3052,15.1293,0.6463,1.386,0.2865
58,2.417,3,lifter,0.5931,1582,738,1668,921,-4.6442,0.2159,11.5212,0.4929,1.0547,0.2301
58,2.417,4,lifter,0.2412,1341,1153,1666,1504,-5.2671,0.2562,13.027,0.5543,1.1891,0.2488
58,2.417,5,lifter,0.1828,773,1171,1077,1512,-4.586,0.2122,11.378,0.4861,1.0407,0.2273
59,2.459,1,lifter,0.7943,194,1067,466,1512,-4.2488,0.1926,10.5497,0.4478,0.9598,0.2078
59,2.459,2,lifter,0.6813,218,684,348,923,-6.1561,0.3068,15.1981,0.6493,1.3925,0.2879
59,2.459,3,lifter,0.6166,1582,739,1669,921,-4.5863,0.2125,11.3797,0.4866,1.041,0.2271
